park,previous_month,current_month,month_diff,previous_ytd,current_ytd,ytd_diff
Abraham Lincoln Birthplace NHP,"32,877","29,134","-3,743","196,062","189,907","-6,155"
Acadia NP,"603,273","500,320","-102,953","2,942,216","2,090,664","-851,552"
Adams NHP,"19,602",575,"-19,027","159,092","5,402","-153,690"
African Burial Ground NM,"4,384",0,"-4,384","32,423","6,900","-25,523"
Agate Fossil Beds NM,"2,227","1,558",-669,"15,574","7,371","-8,203"
Alibates Flint Quarries NM,965,599,-366,"6,917","2,313","-4,604"
Allegheny Portage Railroad NHS,"19,387","19,559",172,"146,066","96,149","-49,917"
Amistad NRA,"94,169","133,583","39,414","947,836","1,124,834","176,998"
Andersonville NHS,"6,914","4,767","-2,147","73,964","48,410","-25,554"
Andrew Johnson NHS,"3,775","4,168",393,"39,708","33,750","-5,958"
Aniakchak NM & PRES,10,10,0,100,100,0
Antietam NB,"27,684","7,517","-20,167","228,556","69,365","-159,191"
Apostle Islands NL,"30,468","35,324","4,856","222,157","193,818","-28,339"
Appomattox Court House NHP,"10,634","6,196","-4,438","85,578","40,276","-45,302"
Arches NP,"207,857","207,857",0,"1,397,137","896,252","-500,885"
Arkansas Post NMEM,"1,718","1,842",124,"24,154","24,547",393
Assateague Island NS,"274,394","279,995","5,601","2,076,763","2,149,012","72,249"
Aztec Ruins NM,"7,593","3,318","-4,275","50,258","22,836","-27,422"
Badlands NP,"118,262","87,973","-30,289","908,944","825,389","-83,555"
Bandelier NM,"17,263","10,623","-6,640","159,433","69,723","-89,710"
Belmont-Paul Women's Equality NM,815,815,0,"7,374","8,269",895
Bent's Old Fort NHS,"2,379","1,746",-633,"18,545","9,807","-8,738"
Bering Land Bridge NPRES,61,61,0,"1,870","1,870",0
Big Bend NP,"21,246","23,841","2,595","324,455","217,174","-107,281"
Big Cypress NPRES,"66,352",88,"-66,264","732,546","842,990","110,444"
Big Hole NB,"6,338","6,920",582,"41,792","33,150","-8,642"
Big South Fork NRRA,"80,407","82,598","2,191","581,469","595,863","14,394"
Big Thicket NPRES,"28,408","33,011","4,603","189,515","193,590","4,075"
Bighorn Canyon NRA,"23,104","18,280","-4,824","233,115","193,615","-39,500"
Biscayne NP,"46,723","18,276","-28,447","549,589","341,816","-207,773"
Black Canyon of the Gunnison NP,"48,420","48,257",-163,"378,868","264,305","-114,563"
Blue Ridge PKWY,"1,712,713","1,782,029","69,316","11,193,496","10,310,060","-883,436"
Bluestone NSR,"5,299","4,857",-442,"32,979","20,783","-12,196"
Booker T. Washington NM,"1,438","5,180","3,742","17,966","14,982","-2,984"
Boston African American NHS,"32,197","5,942","-26,255","381,082","82,786","-298,296"
Boston NHP,"353,098","14,374","-338,724","2,541,490","249,462","-2,292,028"
Brown v. Board of Education NHS,"1,397",0,"-1,397","16,915","4,064","-12,851"
Bryce Canyon NP,"392,428","280,398","-112,030","2,253,708","1,103,145","-1,150,563"
Buck Island Reef NM,"1,208",277,-931,"30,324","13,451","-16,873"
Buffalo NR,"114,939","139,396","24,457","1,165,315","1,282,340","117,025"
Cabrillo NM,"62,052","48,676","-13,376","579,307","378,392","-200,915"
Canaveral NS,"138,980","138,980",0,"1,513,757","723,781","-789,976"
Cane River Creole NHP,"1,012",628,-384,"22,038","14,228","-7,810"
Canyon de Chelly NM,"43,466",0,"-43,466","331,487","73,311","-258,176"
Canyonlands NP,"97,817","74,444","-23,373","606,049","309,909","-296,140"
Cape Cod NS,"554,274","506,559","-47,715","3,394,381","3,325,045","-69,336"
Cape Hatteras NS,"242,139","345,294","103,155","2,214,013","2,129,915","-84,098"
Cape Krusenstern NM,"1,438","1,438",0,"10,259","5,390","-4,869"
Cape Lookout NS,"38,323","60,277","21,954","361,595","368,215","6,620"
Capitol Reef NP,"170,057","178,879","8,822","1,019,853","751,100","-268,753"
Capulin Volcano NM,"5,743","7,002","1,259","72,658","50,716","-21,942"
Carl Sandburg Home NHS,"6,674","6,674",0,"62,365","31,284","-31,081"
Carlsbad Caverns NP,"28,455","16,717","-11,738","349,567","136,279","-213,288"
Carter G. Woodson Home NHS,53,0,-53,"1,819",548,"-1,271"
Casa Grande Ruins NM,"3,026","1,016","-2,010","50,513","34,456","-16,057"
Castillo de San Marcos NM,"27,316","27,316",0,"500,683","264,170","-236,513"
Castle Clinton NM,"372,332","34,619","-337,713","3,420,770","532,798","-2,887,972"
Catoctin Mountain Park,"34,645","82,249","47,604","219,733","417,775","198,042"
Cedar Breaks NM,"98,651","147,812","49,161","478,696","692,465","213,769"
Cesar E. Chavez NM,"1,798",125,"-1,673","12,308","5,201","-7,107"
Chaco Culture NHP,"7,267","7,267",0,"39,154","38,981",-173
Chamizal NMEM,"3,690","1,454","-2,236","28,769","14,799","-13,970"
Channel Islands NP,"38,681","8,487","-30,194","325,665","85,760","-239,905"
Charles Pinckney NHS,"3,127","3,383",256,"28,318","15,607","-12,711"
Charles Young Buffalo Soldiers NM,"2,745",94,"-2,651","12,420","1,752","-10,668"
Chattahoochee River NRA,"332,490","344,875","12,385","2,619,154","2,325,605","-293,549"
Chesapeake & Ohio Canal NHP,"574,676","569,788","-4,888","4,097,029","3,828,193","-268,836"
Chickamauga & Chattanooga NMP,"87,183","60,144","-27,039","751,443","479,120","-272,323"
